path	tracked	top	ext	kind	bytes	lines	sha256_16	flags
.claude/session-coord.config.json	tracked	.claude	.json	text	892	25	dfe1a359515f0d3c	demo-mock-todo
.claude/settings.json	tracked	.claude	.json	text	2788	88	5aff568b83b00732	
.claude/skills/file-linkage/SKILL.md	tracked	.claude	.md	text	11143	292	833e66c2d83d0f9b	
.claude/skills/memory-write/SKILL.md	tracked	.claude	.md	text	8956	252	082f47db584b6fc4	demo-mock-todo
.claude/skills/new-feature/SKILL.md	tracked	.claude	.md	text	11853	283	a3890114fb01f62e	demo-mock-todo
.claude/skills/project-overview/SKILL.md	tracked	.claude	.md	text	82648	975	3e6821567ab30db7	demo-mock-todo,secret-word
.claude/skills/session-wrap/SKILL.md	tracked	.claude	.md	text	43237	871	6511bda27df03a4e	demo-mock-todo,secret-word
.claude/skills/spec-sync/SKILL.md	tracked	.claude	.md	text	8132	242	ffc1a75d957d7f1b	demo-mock-todo
.claude/skills/version-bump/SKILL.md	tracked	.claude	.md	text	25769	557	d7b5873dc65ce86f	demo-mock-todo
.gitignore	tracked	.gitignore	[none]	text	2616	102	b41ff245d9e6debc	demo-mock-todo
.graphifyignore	tracked	.graphifyignore	[none]	text	1355	32	2be2f000cfd91a44	demo-mock-todo
00_admin/2026-04-19_项目审查_backlog.md	tracked	00_admin	.md	text	63073	514	8c6547fe69cb87d3	demo-mock-todo,secret-word
00_admin/TODO.md	tracked	00_admin	.md	text	86210	1196	d38b5b7e0cac3d2b	demo-mock-todo,secret-word
00_admin/WIP.md	tracked	00_admin	.md	text	21638	272	1e4f6406191fd90b	demo-mock-todo
00_admin/hooks/README.md	tracked	00_admin	.md	text	15796	257	ff1dddadff80fea1	demo-mock-todo,secret-word
00_admin/hooks/install.sh	tracked	00_admin	.sh	text	1065	36	f17e06c2c52210dd	
00_admin/hooks/lib/sync-rules.sh	tracked	00_admin	.sh	text	13182	356	d2538c6f1efaebd3	demo-mock-todo
00_admin/hooks/post-checkout	tracked	00_admin	[none]	text	3105	84	659620f76eb5edb2	
00_admin/hooks/post-commit	tracked	00_admin	[none]	text	3263	85	2a4f4dc7989b7bdd	
